country,secondary_enrollment,tertiary_enrollment,infant_mortality,life_expectancy,gdp_per_capita,gini_index,poverty_1.90_USD,high_tech_exports,rd_researchers,income_top_20_percent,slums,corruption,gov_effectivness,positive_affect,generosity,freedom
Afghanistan,47.15401833333333,7.179787000020344,54.629999999999995,63.0715,557.6428834678321,NaN,NaN,0,NaN,NaN,68.2333335876465,12.625,-1.3771932005882264,0.47860701382160187,0.05352991819381714,0.48191294372081755
Albania,86.32294,57.660192108154305,9.31,77.7678,4506.201678689408,32.01428571428571,0.5,0.7231589769295969,NaN,39.91428571428572,NaN,35.125,-0.10670818956568837,0.5642630457878113,-0.09120186744257808,0.6809289872646331
Algeria,NaN,39.27204704284668,21.72,75.9572,4688.705690189091,27.6,0.4,0.5791470603814967,819.3427,37.2,NaN,34.875,-0.5257255047559738,0.5426944749695914,-0.14658704485433796,0.5190091828505198
Angola,11.29064,8.176457524299623,60.730000000000004,58.7377,4183.487481773336,51.3,49.9,15.065565192296887,33.148055,55.6,54.67500019073485,20.125,-1.0833800375461577,0.6257342249155045,-0.08889609575271606,0.45595669746398926
Argentina,86.92090375,83.44172744750976,10.51,75.9832,12477.668798179237,41.922222222222224,1.1444444444444446,7.419014619925763,1202.7933488888889,47.08888888888889,16.72499990463255,36.875,-0.07874443605542183,0.7495850563049317,-0.17332422286272048,0.7999706089496612
Armenia,90.12559999999999,50.121607208251945,13.069999999999999,74.2988,3818.9267541245054,31.389999999999997,1.23,5.0788959336948105,NaN,40.160000000000004,11.000000000000007,35.875,-0.10020608101040125,0.499779537320137,-0.18974705934524536,0.5863892585039139
Australia,92.76398333333333,115.29576568603541,3.44,82.30829268292683,58593.73795274059,34.275,0.45,18.620111589718427,4532.40149,41.75,NaN,79.375,1.6169934391975402,0.7370410621166229,0.26835689023137094,0.925640469789505
Austria,86.676273750000007,81.42716293334962,3.1399999999999997,81.31902439024391,48757.762098443636,30.49,0.48999999999999994,13.785466296725977,4938.544845555556,38.480000000000004,NaN,73.625,1.5653982281684875,0.712267929315567,0.10690717920660972,0.904818993806839
Azerbaijan,88.53256,24.16716995239259,24.59,72.0789,5937.032400226568,NaN,NaN,5.247226475246976,NaN,NaN,NaN,28.625,-0.4088641941547394,0.5224216520786286,-0.18296103104948996,0.6876735270023346
Bahrain,88.67698111111112,45.681600782606345,6.56,76.6855,23324.7738906753,NaN,NaN,1.0256464044883022,368.99126,NaN,NaN,44.5,0.42394980043172836,0.6591048464179039,0.05288995422112445,0.8466885462403297
Bangladesh,56.69122375,16.587027549743656,31.93,71.3166,1239.4425467318724,32.25,16.75,0.2956526906616639,NaN,41.45,53.32499980926515,26.125,-0.7473770618438721,0.4786613451109992,-0.047527755983173846,0.8030835568904877
Belarus,96.67477111111111,88.98592071533206,3.2299999999999995,72.8348780487805,6584.370260206854,26.29,0,3.923683700584977,NaN,36.019999999999996,39.2000007629395,37,-0.6235365763306617,0.5178881913423539,-0.14910169504582882,0.657443743944168
Belgium,93.57487,74.31279144287109,3.41,81.05439024390245,45178.498790448444,27.689999999999998,0.12000000000000002,11.246012205820298,4405.660452222222,36.58,NaN,75.625,1.4983861207962037,0.7287742018699646,-0.028432260348927228,0.8470641255378724
Belize,68.64183111111112,23.7922477722168,13.48,73.6642,4714.025103326063,NaN,NaN,0.5380229879445891,NaN,NaN,6.966666698455824,NA,-0.5460541188716889,0.7350271344184875,0.020092209801077843,0.8735690712928772
Benin,45.00416,13.755392180548776,63.79,60.5095,1161.6586528462956,43,40.666666666666664,2.7907281864163456,NaN,49.4,62.42500019073485,38,-0.5438918620347977,0.5928787655300565,-0.06712793902907935,0.7582541373040941
Bhutan,60.241301111111106,12.075642406940462,28.369999999999997,70.17609999999999,2802.1490190957056,38.099999999999994,1.85,0.05347694044880899,NaN,45.25,NaN,65.5,0.45217008590698243,0.720515787601471,0.2982638080914815,0.824841837088267
Bolivia,75.13148,NaN,26.51,69.949700000000007,2946.6169143496963,45.43333333333333,6.266666666666667,7.354426869719845,163.80159,49.97777777777778,47.19999980926512,32.875,-0.4940610408782959,0.7144266605377197,-0.05551161644980311,0.8468221545219421
Bosnia and Herzegovina,NaN,46.06998358832465,5.55,76.7597,5227.419232054584,33,0.1,3.5284977828086888,346.89683857142853,40.7,7.59999990463257,39,-0.5499494731426239,0.5155121922492981,0.046614781208336356,0.5128707349300384
Botswana,NaN,25.05846691131591,39.19,66.0068,7121.169222879582,53.3,14.5,0.5316507570226332,178.82365,58.5,NaN,62.25,0.4380313724279404,0.6554277598857879,-0.19211513698101043,0.8173207879066468
Brazil,80.58199142857143,49.765564388699005,14.75,74.821,10681.656752264811,52.98888888888889,4.055555555555555,13.356570197896977,787.696616,57.62222222222223,20.44999933242795,39.125,-0.17409401349723339,0.6997747361660004,-0.09115041937265131,0.7937955141067505
Bulgaria,88.48396625,66.74180297851562,7.18,74.56341463414635,8005.478976312838,38.12,1.85,8.835451360551023,1868.9783577777775,44.43,NaN,41.875,0.12148930002440465,0.5364546835422516,-0.1632362101227045,0.6600526213645935
Burkina Faso,23.8915775,5.236572027206421,60.67,59.541,741.4514945663028,41.3,38.75,9.751166057841612,47.57672,49.3,60.46666717529297,39.625,-0.6091130971908569,0.5862594962120056,-0.029898977818083948,0.6700069189071656
Burundi,23.860836666666668,3.929000006781685,48.25,59.6914,255.4944161417173,38.6,72.8,4.098432984514491,22.18173,46.3,51.40000025431317,19.875,-1.238389825820923,0.6096502145131429,-0.04711690048376719,0.5225488742192587
